Town06_15;20221114_154333;Town06;42;15
Town06_16;20221114_154428;Town06;54;30
Town06_17;20221114_154443;Town06;66;75
Town06_18;20221114_155912;Town06;78;20
Town06_19;20221114_160046;Town06;90;0

Town07_00;20220926_112109;Town07;-18;50
Town07_01;20220926_153749;Town07;-6;5
Town07_02;20220927_152109;Town07;6;15
Town07_03;20220927_163652;Town07;18;100
Town07_04;20220928_105948;Town07;30;75
Town07_05;20220928_113240;Town07;42;30
Town07_06;20220928_115141;Town07;54;25
Town07_07;20220928_120602;Town07;66;0
Town07_08;20220928_122954;Town07;78;10
Town07_09;20220930_094457;Town07;90;20
Town07_10;20220930_105843;Town07;-18;15
Town07_11;20221114_161147;Town07;-6;50
Town07_12;20221114_161148;Town07;6;10
Town07_13;20221114_161200;Town07;18;5
Town07_14;20221114_161202;Town07;30;30
Town07_15;20221114_161224;Town07;42;25
Town07_16;20221114_161244;Town07;54;20
Town07_17;20221114_161246;Town07;66;100
Town07_18;20221114_161247;Town07;78;75
Town07_19;20221114_161306;Town07;90;0

Town10HD_00;20230106_102443;Town10HD;-18;25
Town10HD_01;20230106_102547;Town10HD;-6;50
Town10HD_02;20230106_102600;Town10HD;6;30
Town10HD_03;20230106_102614;Town10HD;18;15
Town10HD_04;20230106_102626;Town10HD;30;20
Town10HD_05;20230106_102629;Town10HD;42;75
Town10HD_06;20230106_102818;Town10HD;54;10
Town10HD_07;20230106_102844;Town10HD;66;5
Town10HD_08;20230106_102845;Town10HD;78;0
Town10HD_09;20230106_102848;Town10HD;90;100
Town10HD_10;20230106_102850;Town10HD;-18;100
Town10HD_11;20230106_102904;Town10HD;-6;15
Town10HD_12;20230106_102913;Town10HD;6;30
Town10HD_13;20230106_122152;Town10HD;18;75
Town10HD_14;20230106_122237;Town10HD;30;10
Town10HD_15;20230106_122244;Town10HD;42;20
Town10HD_16;20230106_122249;Town10HD;54;0
Town10HD_17;20230106_122257;Town10HD;66;5
Town10HD_18;20230106_122354;Town10HD;78;25
Town10HD_19;20230106_122417;Town10HD;90;50
